Date,Day Name,Month,Year,Subways _Total _Ridership,Subways_%Prepandemic,Buses_Total_Ridership,Buses_%Prepandemic,AAR_Total_Ridership,AAR_%Prepandemic,Bridges&Tunnels_Total_Ridership,Bridges&Tunnels_%Prepandemic,LIRR_Total_Ridership,LIRR_%Prepandemic,MNR_Total_ Ridership,MNR_%Prepandemic,SIR_Total_ _Ridership,SIR_ %Prepandemic
7/23/2020,Thursday,7,2020,1233795,23,33999,2,17056,60,791577,82,65637,21,32975,12,2632,19
7/24/2020,Friday,7,2020,1218138,23,29987,1,17311,61,826030,86,65889,21,36639,13,2511,18
7/25/2020,Saturday,7,2020,816604,29,14777,1,10350,65,769898,83,43340,34,25173,16,799,16
7/26/2020,Sunday,7,2020,606910,26,9711,1,7429,45,697533,79,36164,35,20170,19,542,15
7/27/2020,Monday,7,2020,1203503,23,32072,2,16607,59,793224,83,70114,22,31568,11,2626,19
7/28/2020,Tuesday,7,2020,1241770,24,33753,2,16892,60,782225,81,66687,21,31677,11,2635,19
7/29/2020,Wednesday,7,2020,1296102,25,35257,2,18216,64,816959,85,69995,22,33733,12,2778,20
7/30/2020,Thursday,7,2020,1270172,24,33982,2,17333,61,820274,85,68958,22,34122,12,2746,20
7/31/2020,Friday,7,2020,1258539,24,29917,1,17654,62,859774,89,67648,21,38040,13,2429,18
8/1/2020,Saturday,8,2020,842468,29,16087,1,10685,64,799744,83,44405,33,26261,17,904,19
8/2/2020,Sunday,8,2020,590060,25,9874,1,7431,41,648735,70,30502,29,17885,17,615,17
8/3/2020,Monday,8,2020,1272996,25,36945,2,17594,63,818732,84,70779,23,32884,12,2955,22
8/4/2020,Tuesday,8,2020,1027187,20,29426,1,14924,53,577415,59,36835,12,22286,8,1499,11
8/5/2020,Wednesday,8,2020,1348202,26,38283,2,18299,66,847329,87,58005,19,26598,10,2824,21
8/6/2020,Thursday,8,2020,1334694,26,37059,2,19117,68,847497,87,66671,21,28283,10,3125,23
8/7/2020,Friday,8,2020,1283894,25,32170,2,17502,63,844096,87,65969,21,32882,12,2741,20
8/8/2020,Saturday,8,2020,833287,28,15143,1,10613,64,730738,76,41729,31,23513,15,806,17
8/9/2020,Sunday,8,2020,662993,28,11534,1,8287,46,744618,81,37616,36,20503,20,649,18
8/10/2020,Monday,8,2020,1275268,25,34883,2,18178,65,826000,85,73548,24,33500,12,2995,22
8/11/2020,Tuesday,8,2020,1319814,26,36426,2,18546,66,821975,85,72436,23,33509,12,3164,24
8/12/2020,Wednesday,8,2020,1298963,25,36053,2,19346,69,800864,82,68345,22,33736,12,3124,23
8/13/2020,Thursday,8,2020,1291277,25,34723,2,18608,67,819018,84,69223,22,33822,12,2971,22
8/14/2020,Friday,8,2020,1355786,26,32713,2,18113,65,893657,92,72916,23,39342,14,3012,23
8/15/2020,Saturday,8,2020,860789,29,15522,1,11487,69,804345,84,46806,35,27677,18,974,21
8/16/2020,Sunday,8,2020,554451,23,8603,1,7902,44,620685,67,29858,29,18164,17,529,15
8/17/2020,Monday,8,2020,1304485,25,34768,2,17377,62,806108,83,74453,24,35362,13,3058,23
8/18/2020,Tuesday,8,2020,1369617,27,36646,2,19274,69,838007,86,74213,24,34361,13,2951,22
8/19/2020,Wednesday,8,2020,1292148,25,34181,2,19915,71,816805,84,70104,22,34377,13,2783,21
8/20/2020,Thursday,8,2020,1410489,27,35059,2,19344,69,889781,92,75643,24,37078,14,2960,22
8/21/2020,Friday,8,2020,1387463,27,31342,2,19035,68,909773,94,76062,24,41110,15,2769,21
8/22/2020,Saturday,8,2020,882522,30,13705,1,11456,69,812307,85,49095,37,27784,18,871,18
8/23/2020,Sunday,8,2020,671560,28,9698,1,8297,46,737096,80,37891,36,22496,22,633,18
8/24/2020,Monday,8,2020,1307345,25,34021,2,17643,63,815664,84,75145,24,35904,13,2756,21
8/25/2020,Tuesday,8,2020,1346490,26,34993,2,18682,67,821596,85,73331,23,35689,13,2845,21
8/26/2020,Wednesday,8,2020,1407639,27,35975,2,20659,74,859624,88,76583,24,36621,13,3012,23
8/27/2020,Thursday,8,2020,1358272,26,33969,2,19271,69,847284,87,73060,23,35551,13,2856,21
8/28/2020,Friday,8,2020,1388583,27,31956,2,18845,67,899891,93,76114,24,41222,15,2716,20
8/29/2020,Saturday,8,2020,773667,26,14035,1,9814,59,645955,67,37641,28,22234,15,798,17
8/30/2020,Sunday,8,2020,748061,31,16027,1,9752,54,805095,87,45147,43,26520,26,825,23
8/31/2020,Monday,8,2020,1397264,27,787291,39,18185,65,817543,84,78122,25,37727,14,3184,24
9/1/2020,Tuesday,9,2020,1469274,25,947758,41,18929,64,809684,85,76483,23,36035,12,3217,19
9/2/2020,Wednesday,9,2020,1487969,26,972213,42,19990,67,810144,85,77585,24,36159,13,3192,19
9/3/2020,Thursday,9,2020,1529185,26,1022623,44,19992,67,869126,91,82554,25,39920,14,3327,19
9/4/2020,Friday,9,2020,1568385,27,1030811,44,20223,68,936602,98,88345,27,47152,16,3148,18
9/5/2020,Saturday,9,2020,1013725,31,715922,51,12118,71,798822,84,50550,43,34621,23,21,1
9/6/2020,Sunday,9,2020,819409,32,559273,51,10160,59,753035,85,44727,45,28565,27,191,7
9/7/2020,Monday,9,2020,870964,34,615802,56,9261,54,697865,79,80050,81,27326,26,1210,41
9/8/2020,Tuesday,9,2020,1555816,27,1039401,45,19806,67,833995,88,90603,28,42963,15,3496,20
9/9/2020,Wednesday,9,2020,1610076,28,1072887,46,21801,73,825411,87,86063,26,41954,15,3586,21
9/10/2020,Thursday,9,2020,1543662,27,997030,43,20181,68,801431,84,82142,25,39296,14,3403,20
9/11/2020,Friday,9,2020,1690334,29,1070920,46,20809,70,895765,94,88582,27,47781,17,3442,20
9/12/2020,Saturday,9,2020,1083698,34,752875,54,12349,72,800189,84,44546,38,32400,21,29,1
9/13/2020,Sunday,9,2020,796740,31,557231,51,9315,54,703809,80,36686,37,24009,23,4,0
9/14/2020,Monday,9,2020,1604381,28,1065601,46,19888,67,799572,84,89498,27,41286,14,3515,21
9/15/2020,Tuesday,9,2020,1678078,29,1091806,47,20763,70,815699,86,87025,27,41288,14,3696,22
9/16/2020,Wednesday,9,2020,1686909,29,1097389,47,22070,74,816708,86,87034,27,41417,14,3496,20
9/17/2020,Thursday,9,2020,1692368,29,1094592,47,21005,71,848024,89,86854,27,42339,15,3617,21
9/18/2020,Friday,9,2020,1725443,30,1083295,47,20702,70,894931,94,90657,28,48213,17,3367,20
9/19/2020,Saturday,9,2020,1136947,35,752437,54,12246,71,802613,84,46777,40,34608,23,1001,24
9/20/2020,Sunday,9,2020,827605,33,558863,51,9269,54,705596,80,38973,39,26328,25,760,26
9/21/2020,Monday,9,2020,1624139,28,1058256,46,19488,66,788504,83,89706,27,41901,15,3497,20
9/22/2020,Tuesday,9,2020,1698504,29,1095678,47,21103,71,808350,85,87376,27,41389,14,3821,22
9/23/2020,Wednesday,9,2020,1735333,30,1119904,48,22501,76,834468,88,88998,27,42506,15,3710,22
9/24/2020,Thursday,9,2020,1722364,30,1107707,48,21554,73,857578,90,89129,27,42969,15,3816,22
9/25/2020,Friday,9,2020,1761591,31,1110956,48,21233,72,912599,96,92506,28,49819,17,3708,22
9/26/2020,Saturday,9,2020,1120143,35,755197,54,12128,71,824514,86,47169,40,35771,23,32,1
